# ells    n1    n2    n3    n4    n5    n6    n7    n8    n9    n10
5.600000000000000000e+01 2.582956145394230402e-19 1.040635071355284038e-19 6.588921935250765906e-20 4.569227271795461235e-20 3.253818220309283233e-20 2.320814036840496896e-20 1.627170416426919832e-20 1.093416048765377972e-20 6.673701925558798081e-21 2.946286761570211478e-21
5.900000000000000000e+01 2.189622630723319156e-19 8.962500346886350386e-20 5.660714000994310783e-20 3.941701579591416192e-20 2.824267380711945134e-20 2.027518041926527214e-20 1.430606798298967828e-20 9.673842052568811433e-21 5.943140652160092044e-21 2.644423566758496512e-21
6.200000000000000000e+01 1.867976346605261286e-19 7.785736821757465006e-20 4.897517964833198094e-20 3.417845847036968059e-20 2.461148113286473311e-20 1.777093499563958480e-20 1.261404055884638462e-20 8.581420837609212837e-21 5.305908268176626373e-21 2.379392536853099855e-21
6.500000000000000000e+01 1.602670062623838575e-19 6.815902784857781841e-20 4.266914468812652343e-20 2.979132664912699107e-20 2.153315635891934384e-20 1.562654208108535894e-20 1.115301402355922414e-20 7.631338851009833723e-21 4.748036089668201058e-21 2.145763134736142430e-21
6.800000000000000000e+01 1.382143742478280619e-19 6.007508824863038012e-20 3.743145466585726032e-20 2.610554234528354892e-20 1.891674799893848777e-20 1.378560035960235359e-20 9.888031033866754732e-21 6.802609038735358706e-21 4.258060201032545181e-21 1.939081178624670333e-21
7.100000000000000000e+01 1.197462287053312117e-19 5.325795499255436745e-20 3.305620890894484127e-20 2.299881389495757191e-20 1.668744298291335425e-20 1.220154423067813905e-20 8.790191015970836174e-21 6.077879515725249147e-21 3.826505158610516146e-21 1.755664427938644659e-21
7.400000000000000000e+01 1.041904835721024756e-19 4.744287113347117956e-20 2.937752973414515439e-20 2.037097842072730321e-20 1.478325865291026287e-20 1.083560989595092436e-20 7.835393154925633012e-21 5.442675390817389980e-21 3.445469631291034611e-21 1.592441409048766281e-21
7.700000000000000000e+01 9.102109448127975831e-20 4.242786351193453496e-20 2.626231919665944803e-20 1.813994420964888409e-20 1.315270797572469630e-20 9.655404045896701194e-21 7.003410485674755854e-21 4.884830838051399706e-21 3.108305038077782915e-21 1.446830499824284302e-21
8.000000000000000000e+01 7.982465262199304425e-20 3.806100126902170155e-20 2.360369779957875093e-20 1.623799474767725170e-20 1.175274202637720268e-20 8.633631745633671673e-21 6.277157236130602748e-21 4.394051067636019486e-21 2.809386478197592400e-21 1.316646951375715389e-21
8.100000000000000000e+01 7.647112685232645188e-20 3.672858439452964961e-20 2.280362172450102764e-20 1.566724258519331637e-20 1.133101536194275248e-20 8.324207279801408017e-21 6.056006758607332197e-21 4.243809319085091722e-21 2.717397166691196066e-21 1.276350777797636037e-21
8.600000000000000000e+01 6.206786814574747284e-20 3.083513304428895558e-20 1.932995046741303929e-20 1.320750775843205854e-20 9.506796065574398971e-21 6.976819479163808650e-21 5.086012707214451119e-21 3.579901566719781159e-21 2.307801512280700544e-21 1.095379880272347066e-21
9.100000000000000000e+01 5.086833258450720964e-20 2.599211883134345614e-20 1.654745173613440370e-20 1.127406106781368573e-20 8.071077976679048792e-21 5.906179091658622705e-21 4.306321256681324329e-21 3.039574794816567188e-21 1.970085368451755504e-21 9.439116353162120805e-22
9.600000000000000000e+01 4.207712155286219608e-20 2.197210590740662614e-20 1.426669914359812546e-20 9.727537043712674567e-21 6.929565192907666896e-21 5.049847588140597710e-21 3.676599247500738120e-21 2.598180760919941112e-21 1.690648606606441375e-21 8.166518282472504029e-22
1.010000000000000000e+02 3.511149068693758413e-20 1.862032564683330405e-20 1.235893688439637947e-20 8.467038673997779401e-21 6.010840398028850545e-21 4.360022596007625508e-21 3.165366727728484166e-21 2.236248403102961003e-21 1.458692257223015976e-21 7.093809319410207890e-22
1.060000000000000000e+02 2.954217617620989468e-20 1.582447483233245213e-20 1.073710132744910232e-20 7.420093260719468236e-21 5.260963152107644645e-21 3.799689614292078094e-21 2.748054379899048092e-21 1.938255774204582395e-21 1.265566419622906249e-21 6.186976192064507663e-22
1.110000000000000000e+02 2.504617393400487967e-20 1.349642464239187956e-20 9.342511707167266115e-21 6.534726961654269915e-21 4.639344058905822404e-21 3.339792130121983434e-21 2.405373795023365745e-21 1.691819830968013513e-21 1.104275987683563081e-21 5.418361476045180513e-22
1.160000000000000000e+02 2.138161277021665553e-20 1.156252557851002991e-20 8.135486497815160381e-21 5.773944921816008684e-21 4.115985621713571081e-21 2.957814498084596053e-21 2.121988989541767934e-21 1.487096653856266006e-21 9.691232282139374783e-22 4.765322722355211008e-22
