# r[Mpc]	l	z	multipoles_value
2.5500000000e+02	2	1.0000000000e+00	1.3922827692e-05
2.6000000000e+02	2	1.0000000000e+00	1.3611393419e-05
2.6500000000e+02	2	1.0000000000e+00	1.3310496281e-05
2.7000000000e+02	2	1.0000000000e+00	1.3019596022e-05
2.7500000000e+02	2	1.0000000000e+00	1.2738189334e-05
2.8000000000e+02	2	1.0000000000e+00	1.2465806081e-05
2.8500000000e+02	2	1.0000000000e+00	1.2202008551e-05
2.9000000000e+02	2	1.0000000000e+00	1.1946393413e-05
2.9500000000e+02	2	1.0000000000e+00	1.1698578631e-05
3.0000000000e+02	2	1.0000000000e+00	1.1458212313e-05
3.0500000000e+02	2	1.0000000000e+00	1.1224963912e-05
3.1000000000e+02	2	1.0000000000e+00	1.0998523517e-05
3.1500000000e+02	2	1.0000000000e+00	1.0778606018e-05
3.2000000000e+02	2	1.0000000000e+00	1.0564936703e-05
3.2500000000e+02	2	1.0000000000e+00	1.0357262484e-05
3.3000000000e+02	2	1.0000000000e+00	1.0155344059e-05
3.3500000000e+02	2	1.0000000000e+00	9.9589569576e-06
3.4000000000e+02	2	1.0000000000e+00	9.7678881751e-06
3.4500000000e+02	2	1.0000000000e+00	9.5819374424e-06
3.5000000000e+02	2	1.0000000000e+00	9.4009149981e-06
3.5500000000e+02	2	1.0000000000e+00	9.2246411464e-06
3.6000000000e+02	2	1.0000000000e+00	9.0529456806e-06
3.6500000000e+02	2	1.0000000000e+00	8.8856671358e-06
3.7000000000e+02	2	1.0000000000e+00	8.7226519458e-06
3.7500000000e+02	2	1.0000000000e+00	8.5637540762e-06
3.8000000000e+02	2	1.0000000000e+00	8.4088344988e-06
3.8500000000e+02	2	1.0000000000e+00	8.2577607069e-06
4.0000000000e+01	4	1.0000000000e+00	3.1786956769e-05
4.5000000000e+01	4	1.0000000000e+00	3.1604981103e-05
5.0000000000e+01	4	1.0000000000e+00	3.1311609535e-05
5.5000000000e+01	4	1.0000000000e+00	3.0938761140e-05
6.0000000000e+01	4	1.0000000000e+00	3.0509358687e-05
6.5000000000e+01	4	1.0000000000e+00	3.0040169270e-05
7.0000000000e+01	4	1.0000000000e+00	2.9543646823e-05
7.5000000000e+01	4	1.0000000000e+00	2.9029144772e-05
8.0000000000e+01	4	1.0000000000e+00	2.8503746771e-05
8.5000000000e+01	4	1.0000000000e+00	2.7972856829e-05
9.0000000000e+01	4	1.0000000000e+00	2.7440607584e-05
9.5000000000e+01	4	1.0000000000e+00	2.6910171345e-05
1.0000000000e+02	4	1.0000000000e+00	2.6383968256e-05
1.0500000000e+02	4	1.0000000000e+00	2.5863850542e-05
1.1000000000e+02	4	1.0000000000e+00	2.5351219661e-05
1.1500000000e+02	4	1.0000000000e+00	2.4847136102e-05
