# r[Mpc]	l	z	multipoles_value
3.8500000000e+02	2	1.0000000000e+00	7.3151464783e-06
4.0000000000e+01	4	1.0000000000e+00	1.5242791224e-05
4.5000000000e+01	4	1.0000000000e+00	1.6568027708e-05
5.0000000000e+01	4	1.0000000000e+00	1.7718706339e-05
5.5000000000e+01	4	1.0000000000e+00	1.8713946219e-05
6.0000000000e+01	4	1.0000000000e+00	1.9571057683e-05
6.5000000000e+01	4	1.0000000000e+00	2.0305610901e-05
7.0000000000e+01	4	1.0000000000e+00	2.0931470776e-05
7.5000000000e+01	4	1.0000000000e+00	2.1460900505e-05
8.0000000000e+01	4	1.0000000000e+00	2.1904661393e-05
8.5000000000e+01	4	1.0000000000e+00	2.2272279745e-05
9.0000000000e+01	4	1.0000000000e+00	2.2572081833e-05
9.5000000000e+01	4	1.0000000000e+00	2.2811449128e-05
1.0000000000e+02	4	1.0000000000e+00	2.2996910192e-05
1.0500000000e+02	4	1.0000000000e+00	2.3134279242e-05
1.1000000000e+02	4	1.0000000000e+00	2.3228906858e-05
1.1500000000e+02	4	1.0000000000e+00	2.3285795780e-05
1.2000000000e+02	4	1.0000000000e+00	2.3309681835e-05
1.2500000000e+02	4	1.0000000000e+00	2.3305023910e-05
1.3000000000e+02	4	1.0000000000e+00	2.3275163909e-05
1.3500000000e+02	4	1.0000000000e+00	2.3220154484e-05
1.4000000000e+02	4	1.0000000000e+00	2.3133918108e-05
1.4500000000e+02	4	1.0000000000e+00	2.3005542405e-05
1.5000000000e+02	4	1.0000000000e+00	2.2827491160e-05
1.5500000000e+02	4	1.0000000000e+00	2.2603994692e-05
1.6000000000e+02	4	1.0000000000e+00	2.2351266982e-05
1.6500000000e+02	4	1.0000000000e+00	2.2090439012e-05
1.7000000000e+02	4	1.0000000000e+00	2.1840005872e-05
1.7500000000e+02	4	1.0000000000e+00	2.1611937826e-05
1.8000000000e+02	4	1.0000000000e+00	2.1411422923e-05
1.8500000000e+02	4	1.0000000000e+00	2.1238561973e-05
1.9000000000e+02	4	1.0000000000e+00	2.1090383967e-05
1.9500000000e+02	4	1.0000000000e+00	2.0962410455e-05
2.0000000000e+02	4	1.0000000000e+00	2.0849652281e-05
2.0500000000e+02	4	1.0000000000e+00	2.0747240554e-05
2.1000000000e+02	4	1.0000000000e+00	2.0650862715e-05
2.1500000000e+02	4	1.0000000000e+00	2.0556963481e-05
2.2000000000e+02	4	1.0000000000e+00	2.0462704481e-05
2.2500000000e+02	4	1.0000000000e+00	2.0365889030e-05
2.3000000000e+02	4	1.0000000000e+00	2.0264927783e-05
2.3500000000e+02	4	1.0000000000e+00	2.0158732031e-05
2.4000000000e+02	4	1.0000000000e+00	2.0046557856e-05
2.4500000000e+02	4	1.0000000000e+00	1.9927933191e-05
2.5000000000e+02	4	1.0000000000e+00	1.9802642284e-05
2.5500000000e+02	4	1.0000000000e+00	1.9670682158e-05
2.6000000000e+02	4	1.0000000000e+00	1.9532220850e-05
2.6500000000e+02	4	1.0000000000e+00	1.9387570370e-05
2.7000000000e+02	4	1.0000000000e+00	1.9237126884e-05
2.7500000000e+02	4	1.0000000000e+00	1.9081306568e-05
2.8000000000e+02	4	1.0000000000e+00	1.8920524828e-05
2.8500000000e+02	4	1.0000000000e+00	1.8755192719e-05
2.9000000000e+02	4	1.0000000000e+00	1.8585711897e-05
2.9500000000e+02	4	1.0000000000e+00	1.8412500466e-05
